caseyear,state,st_case,county,cityname,day,month,year,hour,minute,latitude,longitud,lgt_condname,weather1name,weather2name,fatals,drunk_dr,peds,routename,rur_urbname,tway_id,harm_evname,reljct2name,typ_intname,rel_roadname
2018,11,110001,1,"WASHINGTON, DC",7,5,2018,0,49,38.91549167,-76.98547222,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,NEW YORK AVE NE,Pedestrian,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110003,1,"WASHINGTON, DC",27,3,2018,22,25,38.96072778,-77.08579444,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,WESTERN AVE NW,Pedestrian,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110004,1,"WASHINGTON, DC",3,7,2018,23,28,38.94549444,-77.00624722,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,1.0,0,Local Street - Municipality,Urban,HAWAII AVE NE,Motor Vehicle In-Transport,Non-Junction,Not an Intersection,On Roadway
2018,11,110005,1,"WASHINGTON, DC",12,9,2018,21,30,38.92238333,-77.00909167,Dark - Lighted,Rain,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,N CAPITOL ST NW,Pedestrian,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110006,1,"WASHINGTON, DC",16,10,2018,18,42,38.86616389,-76.98191944,Dusk,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,GOOD HOPE RD SE,Motor Vehicle In-Transport,Intersection,T-Intersection,On Roadway
2018,11,110007,1,"WASHINGTON, DC",11,1,2018,16,27,38.87039444,-76.98837778,Daylight,Rain,No Additional Atmospheric Conditions,1,0.0,0,Interstate,Urban,I-295 NB RAMP TO I-695,Motor Vehicle In-Transport,Entrance/Exit Ramp,Not an Intersection,On Roadway
2018,11,110008,1,"WASHINGTON, DC",2,3,2018,2,28,38.84336389,-76.99412778,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,1.0,1,Local Street - Municipality,Urban,WHEELER RD SE,Curb,Non-Junction,Not an Intersection,On Roadside
2018,11,110009,1,"WASHINGTON, DC",9,3,2018,12,15,38.92318333,-76.99018611,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,RHODE ISLAND AVE NE,Motor Vehicle In-Transport,Intersection,Four-Way Intersection,On Roadway
2018,11,110010,1,"WASHINGTON, DC",25,3,2018,2,34,38.93869444,-77.03274444,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,14TH ST NW,Pedestrian,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110011,1,"WASHINGTON, DC",13,4,2018,15,38,38.95913611,-77.02241944,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,7TH ST NW,Motor Vehicle In-Transport,Intersection,Four-Way Intersection,On Roadway
2018,11,110012,1,"WASHINGTON, DC",4,5,2018,13,27,38.89642778,-76.92633056,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,DIVISION AVE NE,Motor Vehicle In-Transport,Intersection,T-Intersection,On Roadway
2018,11,110013,1,"WASHINGTON, DC",27,5,2018,4,34,38.8616,-76.99568056,Dark - Not Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,SUITLAND PARKWAY SE,Pedestrian,Non-Junction,Not an Intersection,On Roadway
2018,11,110014,1,"WASHINGTON, DC",26,5,2018,4,5,38.90013056,-77.03045833,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,H ST NW,Curb,Intersection-Related,Four-Way Intersection,On Roadside
2018,11,110015,1,"WASHINGTON, DC",8,6,2018,20,30,38.90016111,-76.99137222,Daylight,Clear,No Additional Atmospheric Conditions,1,1.0,0,Local Street - Municipality,Urban,H ST NE,Motor Vehicle In-Transport,Non-Junction,Not an Intersection,On Roadway
2018,11,110016,1,"WASHINGTON, DC",19,10,2018,2,59,38.82371944,-77.00551111,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,S CAPITOL ST SE,Motor Vehicle In-Transport,Intersection-Related,T-Intersection,On Roadway
2018,11,110017,1,"WASHINGTON, DC",23,6,2018,21,30,38.90018889,-77.00195833,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,H ST NE,Pedalcyclist,Non-Junction,Not an Intersection,On Roadway
2018,11,110018,1,"WASHINGTON, DC",12,10,2018,9,37,38.9002,-77.0336,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,H ST NW,Pedestrian,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110019,1,"WASHINGTON, DC",2,10,2018,21,49,38.88729167,-76.92526667,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,CENTRAL AVE SE,Pedestrian,Non-Junction,Not an Intersection,On Roadway
2018,11,110020,1,"WASHINGTON, DC",24,9,2018,7,31,38.89206944,-77.02804722,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,CONSTITUTION AVE NW,Pedalcyclist,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110021,1,"WASHINGTON, DC",21,9,2018,10,6,38.90988056,-77.04417222,Daylight,Cloudy,Rain,1,0.0,1,Local Street - Municipality,Urban,DUPONT CIRCLE,Non-Motorist on Personal Conveyance,Intersection-Related,Traffic Circle,On Roadway
2018,11,110022,1,"WASHINGTON, DC",12,9,2018,20,35,38.87188333,-76.97895556,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,18TH ST SE,Tree (Standing Only),Non-Junction,Not an Intersection,Outside Trafficway
2018,11,110023,1,"WASHINGTON, DC",6,9,2018,14,35,38.83563611,-76.98286667,Daylight,Clear,No Additional Atmospheric Conditions,1,1.0,0,Local Street - Municipality,Urban,SOUTHERN AVE SE,Motor Vehicle In-Transport,Driveway Access Related,Not an Intersection,On Roadway
2018,11,110024,1,"WASHINGTON, DC",30,8,2018,15,44,38.91229722,-76.93434444,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,2,Local Street - Municipality,Urban,EASTERN AVE NE,Pedestrian,Intersection-Related,T-Intersection,On Roadway
2018,11,110025,1,"WASHINGTON, DC",14,7,2018,3,8,38.87821389,-76.98105278,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,1.0,0,Local Street - Municipality,Urban,PENNSYLVANIA AVE SE,Curb,Non-Junction,Not an Intersection,On Roadside
2018,11,110026,1,"WASHINGTON, DC",7,7,2018,10,51,38.905375,-77.04740556,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,NEW HAMPSHIRE AVE NW,Pedalcyclist,Intersection-Related,Four-Way Intersection,On Roadway
2018,11,110027,1,"WASHINGTON, DC",4,7,2018,18,13,38.84914167,-76.99605556,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,MARTIN LUTHER KING AVE SE,Concrete Traffic Barrier,Non-Junction,Not an Intersection,On Roadway
2018,11,110028,1,"WASHINGTON, DC",3,7,2018,22,44,38.84929167,-76.98294167,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,SHIPPEN LN SE,Motor Vehicle In-Transport,Intersection,Four-Way Intersection,On Roadway
2018,11,110029,1,"WASHINGTON, DC",9,12,2018,23,40,38.85370833,-76.99176111,Dark - Not Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,SUITLAND PARKWAY SE,Rollover/Overturn,Non-Junction,Not an Intersection,On Roadside
2018,11,110030,1,"WASHINGTON, DC",19,12,2018,21,41,38.89323889,-77.02188611,Dark - Lighted,Clear,No Additional Atmospheric Conditions,2,0.0,2,Local Street - Municipality,Urban,7TH ST NW,Pedestrian,Intersection,Four-Way Intersection,On Roadway
2018,11,110031,1,"WASHINGTON, DC",3,12,2018,11,40,38.86385833,-76.99727222,Daylight,Clear,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,HOWARD RD SE,Motor Vehicle In-Transport,Intersection-Related,T-Intersection,On Roadway
2019,11,110001,1,WASHINGTON,11,2,2019,23,34,38.91078056,-77.00907222,Dark - Lighted,Rain,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,NORTH CAPITOL ST NW,Pedestrian,Intersection,Four-Way Intersection,On Roadway
2019,11,110002,1,WASHINGTON,20,2,2019,18,25,38.95094722,-77.00890556,Dark - Lighted,Rain,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,NORTH CAPITOL ST NW,Pedestrian,Intersection-Related,T-Intersection,On Roadway
2019,11,110003,1,WASHINGTON,5,3,2019,21,1,38.92592778,-76.98285,Dark - Lighted,Clear,No Additional Atmospheric Conditions,1,0.0,1,Local Street - Municipality,Urban,RHODE ISLAND AVE NE,Pedestrian,Non-Junction,Not an Intersection,On Roadway
2019,11,110004,1,WASHINGTON,13,5,2019,5,19,38.86066667,-77.00341667,Dark - Lighted,Rain,No Additional Atmospheric Conditions,1,0.0,0,Local Street - Municipality,Urban,S CAPITOL ST SE,Motor Vehicle In-Transport,Intersection,Four-Way Intersection,On Roadway
