year,name,population,fips_state_id,fips_place_id
2018,"Anchorage municipality, Alaska",291538,02,03000
2018,"Tempe city, Arizona",192354,04,73000
2018,"Sacramento city, California",508517,06,64000
2018,"Santa Rosa city, California",177587,06,70098
2018,"Alameda city, California",78322,06,00562
2018,"San Diego city, California",1425999,06,66000
2018,"San Jose city, California",1030119,06,68000
2018,"San Francisco city, California",883305,06,67000
2018,"Los Angeles city, California",3990469,06,44000
2018,"Vista city, California",101227,06,82996
2018,"Berkeley city, California",121654,06,06000
2018,"Fremont city, California",237815,06,26000
2018,"Santa Barbara city, California",91330,06,69070
2018,"Boulder city, Colorado",107355,08,07850
2018,"Denver city, Colorado",716492,08,20000
2018,"Stamford city, Connecticut",129770,09,73000
2018,"Washington city, District of Columbia",702455,11,50000
2018,"Fort Lauderdale city, Florida",182611,12,24000
2018,"Deerfield Beach city, Florida",80854,12,16725
2018,"Orlando city, Florida",285705,12,53000
2018,"Gainesville city, Florida",133851,12,25175
2018,"West Palm Beach city, Florida",111389,12,76600
2018,"Tampa city, Florida",392905,12,71000
2018,"Savannah city, Georgia",145852,13,69000
2018,"Atlanta city, Georgia",498073,13,04000
2018,"Chicago city, Illinois",2705988,17,14000
2018,"Louisville/Jefferson County metro government (balance), Kentucky",620149,21,48006
2018,"Boston city, Massachusetts",695926,25,07000
2018,"Somerville city, Massachusetts",81568,25,62535
2018,"Cambridge city, Massachusetts",118967,25,11000
2018,"Ann Arbor city, Michigan",121885,26,03000
2018,"Minneapolis city, Minnesota",425395,27,43000
2018,"Kansas City city, Missouri",491809,29,38000
2018,"Columbia city, Missouri",123182,29,15670
2018,"Omaha city, Nebraska",468267,31,37000
2018,"Las Vegas city, Nevada",644664,32,40000
2018,"Jersey City city, New Jersey",265560,34,36000
2018,"Albuquerque city, New Mexico",560234,35,02000
2018,"New York city, New York",8398748,36,51000
2018,"Durham city, North Carolina",274497,37,19000
2018,"Charlotte city, North Carolina",872506,37,12000
2018,"Toledo city, Ohio",274973,39,77000
2018,"Columbus city, Ohio",895877,39,18000
2018,"Oklahoma City city, Oklahoma",649410,40,55000
2018,"Eugene city, Oregon",171259,41,23850
2018,"Portland city, Oregon",652573,41,59000
2018,"Philadelphia city, Pennsylvania",1584138,42,60000
2018,"Bethlehem city, Pennsylvania",75979,42,06088
2018,"Knoxville city, Tennessee",187514,47,40000
2018,"El Paso city, Texas",682686,48,24000
2018,"Austin city, Texas",964243,48,05000
2018,"Houston city, Texas",2326090,48,35000
2018,"San Antonio city, Texas",1532212,48,65000
2018,"Arlington CDP, Virginia",237521,51,03000
2018,"Richmond city, Virginia",228783,51,67000
2018,"Alexandria city, Virginia",160530,51,01000
2018,"Tacoma city, Washington",216271,53,70000
2018,"Bellevue city, Washington",147595,53,05210
2018,"Seattle city, Washington",744949,53,63000
2018,"Milwaukee city, Wisconsin",592002,55,53000
2018,"Madison city, Wisconsin",258034,55,48000
2019,"Anchorage municipality, Alaska",288000,02,03000
2019,"Tempe city, Arizona",195816,04,73000
2019,"Berkeley city, California",121353,06,06000
2019,"Fremont city, California",241117,06,26000
2019,"San Jose city, California",1021786,06,68000
2019,"San Francisco city, California",881549,06,67000
2019,"Vista city, California",101639,06,82996
2019,"Los Angeles city, California",3979537,06,44000
2019,"San Diego city, California",1423852,06,66000
2019,"Santa Rosa city, California",176761,06,70098
2019,"Alameda city, California",77630,06,00562
2019,"Sacramento city, California",513620,06,64000
2019,"Santa Barbara city, California",91357,06,69070
2019,"Denver city, Colorado",727211,08,20000
2019,"Boulder city, Colorado",105670,08,07850
2019,"Stamford city, Connecticut",129636,09,73000
2019,"Washington city, District of Columbia",705749,11,50000
2019,"Orlando city, Florida",287435,12,53000
2019,"Tampa city, Florida",399690,12,71000
2019,"Gainesville city, Florida",133990,12,25175
2019,"West Palm Beach city, Florida",111952,12,76600
