location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,37.785587,-122.16867,6,0,GMT,GMT
1,35.114235,-106.62421,1514,0,GMT,GMT
2,38.84007,-77.09015,62,0,GMT,GMT
3,61.12478,-149.20482,1242,0,GMT,GMT
4,42.28471,-83.67496,272,0,GMT,GMT
5,35.74692,-78.86597,121,0,GMT,GMT
6,38.84007,-77.09015,84,0,GMT,GMT
7,33.778557,-84.402985,289,0,GMT,GMT
8,30.263618,-97.798615,190,0,GMT,GMT
9,47.627415,-122.17464,90,0,GMT,GMT
10,37.926186,-122.255035,8,0,GMT,GMT
11,40.597538,-75.36069,107,0,GMT,GMT
12,42.28471,-71.0249,4,0,GMT,GMT
13,40.03515,-105.23076,1605,0,GMT,GMT
14,42.355007,-71.12906,11,0,GMT,GMT
15,35.184532,-80.816345,210,0,GMT,GMT
16,41.862915,-87.64877,178,0,GMT,GMT
17,38.980667,-92.34247,232,0,GMT,GMT
18,39.964848,-82.96088,245,0,GMT,GMT
19,26.326887,-80.10989,6,0,GMT,GMT
20,39.753952,-104.89569,1613,0,GMT,GMT
21,35.95782,-78.93921,113,0,GMT,GMT
22,31.810192,-106.44231,1187,0,GMT,GMT
23,44.04218,-123.100296,125,0,GMT,GMT
24,26.115992,-80.142395,4,0,GMT,GMT
25,37.50439,-121.997345,10,0,GMT,GMT
26,29.70123,-82.378174,57,0,GMT,GMT
27,40.246044,-76.85394,103,0,GMT,GMT
28,40.738136,-74.04254,11,0,GMT,GMT
29,29.771528,-95.43555,19,0,GMT,GMT
30,40.738136,-74.04254,9,0,GMT,GMT
31,39.121265,-94.57419,227,0,GMT,GMT
32,38.558872,-90.36685,183,0,GMT,GMT
33,35.95782,-83.94568,280,0,GMT,GMT
34,32.724075,-117.03296,163,0,GMT,GMT
35,40.03515,-76.27969,117,0,GMT,GMT
36,27.592266,-99.484314,147,0,GMT,GMT
37,36.239014,-115.27957,718,0,GMT,GMT
38,33.989452,-118.426956,29,0,GMT,GMT
39,38.13708,-85.63342,174,0,GMT,GMT
40,32.794376,-83.72861,118,0,GMT,GMT
41,43.057995,-89.464294,282,0,GMT,GMT
42,43.057995,-87.99109,221,0,GMT,GMT
43,44.956062,-93.20929,263,0,GMT,GMT
44,34.059753,-118.125,163,0,GMT,GMT
45,40.667835,-73.93768,23,0,GMT,GMT
46,41.862915,-87.77942,192,0,GMT,GMT
47,35.46573,-97.5,368,0,GMT,GMT
48,41.23023,-96.06018,359,0,GMT,GMT
49,28.435852,-81.30682,29,0,GMT,GMT
50,40.03515,-75.14685,32,0,GMT,GMT
51,45.51845,-122.63736,50,0,GMT,GMT
52,37.57469,-77.52002,28,0,GMT,GMT
53,38.558872,-121.426636,9,0,GMT,GMT
54,38.418278,-75.60974,14,0,GMT,GMT
55,29.490334,-98.5318,222,0,GMT,GMT
56,32.864674,-117.09914,126,0,GMT,GMT
57,37.71529,-123.08823,0,0,GMT,GMT
58,37.293495,-121.870026,50,0,GMT,GMT
59,35.254833,-120.68965,48,0,GMT,GMT
60,34.481544,-119.69774,117,0,GMT,GMT
61,38.488575,-122.727264,56,0,GMT,GMT
62,32.021088,-81.20627,5,0,GMT,GMT
63,47.627415,-122.32291,46,0,GMT,GMT
64,42.425304,-71.10132,23,0,GMT,GMT
65,41.08963,-73.54285,55,0,GMT,GMT
66,47.27592,-122.499985,118,0,GMT,GMT
67,27.94376,-82.49155,5,0,GMT,GMT
68,33.427063,-111.91594,360,0,GMT,GMT
69,41.65202,-83.62717,185,0,GMT,GMT
70,33.216167,-117.26601,136,0,GMT,GMT
71,38.910366,-77.07251,24,0,GMT,GMT
72,36.942,-121.778656,22,0,GMT,GMT
73,34.059753,-118.350006,75,0,GMT,GMT
74,26.74868,-80.14383,8,0,GMT,GMT
