city,city_ascii,state_id,state_name,timezone
New York,New York,NY,New York,America/New_York
Los Angeles,Los Angeles,CA,California,America/Los_Angeles
Chicago,Chicago,IL,Illinois,America/Chicago
Miami,Miami,FL,Florida,America/New_York
Houston,Houston,TX,Texas,America/Chicago
Dallas,Dallas,TX,Texas,America/Chicago
Philadelphia,Philadelphia,PA,Pennsylvania,America/New_York
Atlanta,Atlanta,GA,Georgia,America/New_York
Washington,Washington,DC,District of Columbia,America/New_York
Boston,Boston,MA,Massachusetts,America/New_York
Phoenix,Phoenix,AZ,Arizona,America/Phoenix
Detroit,Detroit,MI,Michigan,America/Detroit
Seattle,Seattle,WA,Washington,America/Los_Angeles
San Francisco,San Francisco,CA,California,America/Los_Angeles
San Diego,San Diego,CA,California,America/Los_Angeles
Tampa,Tampa,FL,Florida,America/New_York
Minneapolis,Minneapolis,MN,Minnesota,America/Chicago
Brooklyn,Brooklyn,NY,New York,America/New_York
Denver,Denver,CO,Colorado,America/Denver
Queens,Queens,NY,New York,America/New_York
Riverside,Riverside,CA,California,America/Los_Angeles
Las Vegas,Las Vegas,NV,Nevada,America/Los_Angeles
Baltimore,Baltimore,MD,Maryland,America/New_York
St. Louis,St. Louis,MO,Missouri,America/Chicago
Portland,Portland,OR,Oregon,America/Los_Angeles
San Antonio,San Antonio,TX,Texas,America/Chicago
Sacramento,Sacramento,CA,California,America/Los_Angeles
Orlando,Orlando,FL,Florida,America/New_York
Austin,Austin,TX,Texas,America/Chicago
San Jose,San Jose,CA,California,America/Los_Angeles
San Juan,San Juan,PR,Puerto Rico,America/Puerto_Rico
Indianapolis,Indianapolis,IN,Indiana,America/Indiana/Indianapolis
Pittsburgh,Pittsburgh,PA,Pennsylvania,America/New_York
Cincinnati,Cincinnati,OH,Ohio,America/New_York
Kansas City,Kansas City,MO,Missouri,America/Chicago
Cleveland,Cleveland,OH,Ohio,America/New_York
Manhattan,Manhattan,NY,New York,America/New_York
Columbus,Columbus,OH,Ohio,America/New_York
Charlotte,Charlotte,NC,North Carolina,America/New_York
Bronx,Bronx,NY,New York,America/New_York
Virginia Beach,Virginia Beach,VA,Virginia,America/New_York
Jacksonville,Jacksonville,FL,Florida,America/New_York
Providence,Providence,RI,Rhode Island,America/New_York
Milwaukee,Milwaukee,WI,Wisconsin,America/Chicago
Nashville,Nashville,TN,Tennessee,America/Chicago
Salt Lake City,Salt Lake City,UT,Utah,America/Denver
Raleigh,Raleigh,NC,North Carolina,America/New_York
Richmond,Richmond,VA,Virginia,America/New_York
Memphis,Memphis,TN,Tennessee,America/Chicago
Oklahoma City,Oklahoma City,OK,Oklahoma,America/Chicago
Hartford,Hartford,CT,Connecticut,America/New_York
Louisville,Louisville,KY,Kentucky,America/New_York
Fort Worth,Fort Worth,TX,Texas,America/Chicago
Bridgeport,Bridgeport,CT,Connecticut,America/New_York
Buffalo,Buffalo,NY,New York,America/New_York
New Orleans,New Orleans,LA,Louisiana,America/Chicago
Tucson,Tucson,AZ,Arizona,America/Phoenix
El Paso,El Paso,TX,Texas,America/Denver
Omaha,Omaha,NE,Nebraska,America/Chicago
McAllen,McAllen,TX,Texas,America/Chicago
Birmingham,Birmingham,AL,Alabama,America/Chicago
Albuquerque,Albuquerque,NM,New Mexico,America/Denver
Tulsa,Tulsa,OK,Oklahoma,America/Chicago
Charleston,Charleston,SC,South Carolina,America/New_York
Fresno,Fresno,CA,California,America/Los_Angeles
Rochester,Rochester,NY,New York,America/New_York
Cape Coral,Cape Coral,FL,Florida,America/New_York
Dayton,Dayton,OH,Ohio,America/New_York
Baton Rouge,Baton Rouge,LA,Louisiana,America/Chicago
Mission Viejo,Mission Viejo,CA,California,America/Los_Angeles
Allentown,Allentown,PA,Pennsylvania,America/New_York
Colorado Springs,Colorado Springs,CO,Colorado,America/Denver
Provo,Provo,UT,Utah,America/Denver
Ogden,Ogden,UT,Utah,America/Denver
Knoxville,Knoxville,TN,Tennessee,America/New_York
Grand Rapids,Grand Rapids,MI,Michigan,America/Detroit
Columbia,Columbia,SC,South Carolina,America/New_York
Albany,Albany,NY,New York,America/New_York
Des Moines,Des Moines,IA,Iowa,America/Chicago
New Haven,New Haven,CT,Connecticut,America/New_York
Bakersfield,Bakersfield,CA,California,America/Los_Angeles
Palm Bay,Palm Bay,FL,Florida,America/New_York
Akron,Akron,OH,Ohio,America/New_York
Concord,Concord,CA,California,America/Los_Angeles
Wichita,Wichita,KS,Kansas,America/Chicago
Mesa,Mesa,AZ,Arizona,America/Phoenix
Harrisburg,Harrisburg,PA,Pennsylvania,America/New_York
Worcester,Worcester,MA,Massachusetts,America/New_York
Staten Island,Staten Island,NY,New York,America/New_York
Toledo,Toledo,OH,Ohio,America/New_York
Port St. Lucie,Port St. Lucie,FL,Florida,America/New_York
Madison,Madison,WI,Wisconsin,America/Chicago
Kissimmee,Kissimmee,FL,Florida,America/New_York
Reno,Reno,NV,Nevada,America/Los_Angeles
Little Rock,Little Rock,AR,Arkansas,America/Chicago
Denton,Denton,TX,Texas,America/Chicago
Spokane,Spokane,WA,Washington,America/Los_Angeles
Long Beach,Long Beach,CA,California,America/Los_Angeles
Bonita Springs,Bonita Springs,FL,Florida,America/New_York
Boise,Boise,ID,Idaho,America/Boise
Winston-Salem,Winston-Salem,NC,North Carolina,America/New_York
Oakland,Oakland,CA,California,America/Los_Angeles
Augusta,Augusta,GA,Georgia,America/New_York
Springfield,Springfield,MA,Massachusetts,America/New_York
Durham,Durham,NC,North Carolina,America/New_York
Pensacola,Pensacola,FL,Florida,America/Chicago
Chattanooga,Chattanooga,TN,Tennessee,America/New_York
Stockton,Stockton,CA,California,America/Los_Angeles
Fayetteville,Fayetteville,AR,Arkansas,America/Chicago
Lancaster,Lancaster,PA,Pennsylvania,America/New_York
Greenville,Greenville,SC,South Carolina,America/New_York
Syracuse,Syracuse,NY,New York,America/New_York
Arlington,Arlington,TX,Texas,America/Chicago
Aurora,Aurora,CO,Colorado,America/Denver
Trenton,Trenton,NJ,New Jersey,America/New_York
Oxnard,Oxnard,CA,California,America/Los_Angeles
Huntsville,Huntsville,AL,Alabama,America/Chicago
Indio,Indio,CA,California,America/Los_Angeles
Scranton,Scranton,PA,Pennsylvania,America/New_York
Victorville,Victorville,CA,California,America/Los_Angeles
Modesto,Modesto,CA,California,America/Los_Angeles
Myrtle Beach,Myrtle Beach,SC,South Carolina,America/New_York
Honolulu,Honolulu,HI,Hawaii,Pacific/Honolulu
Anaheim,Anaheim,CA,California,America/Los_Angeles
Greensboro,Greensboro,NC,North Carolina,America/New_York
Corpus Christi,Corpus Christi,TX,Texas,America/Chicago
Fort Wayne,Fort Wayne,IN,Indiana,America/Indiana/Indianapolis
Fort Collins,Fort Collins,CO,Colorado,America/Denver
Antioch,Antioch,CA,California,America/Los_Angeles
Jackson,Jackson,MS,Mississippi,America/Chicago
Henderson,Henderson,NV,Nevada,America/Los_Angeles
Lansing,Lansing,MI,Michigan,America/Detroit
Fayetteville,Fayetteville,NC,North Carolina,America/New_York
Savannah,Savannah,GA,Georgia,America/New_York
Lexington,Lexington,KY,Kentucky,America/New_York
Ann Arbor,Ann Arbor,MI,Michigan,America/Detroit
Poughkeepsie,Poughkeepsie,NY,New York,America/New_York
Mobile,Mobile,AL,Alabama,America/Chicago
Youngstown,Youngstown,OH,Ohio,America/New_York
Santa Ana,Santa Ana,CA,California,America/Los_Angeles
