city_id,city,state,county,state_abbr,fips_place,viz_join_year,elevation,fips_state_id
1,Alameda,California,Alameda,,00562,2021,,06
2,Albuquerque,New Mexico,Bernalillo,,02000,2021,,35
3,Alexandria,Virginia,Alexandria City,,01000,2017,,51
4,Anchorage,Alaska,Anchorage,,03000,2018,,02
5,Ann Arbor,Michigan,Washtenaw,,03000,2021,,26
6,Apex,North Carolina,Wake,,01520,,,37
7,Arlington,Virginia,Arlington,,03000,2021,,51
8,Atlanta,Georgia,Fulton,,04000,2020,,13
9,Austin,Texas,Travis,,05000,2016,,48
10,Bellevue,Washington,King,,05210,2020,,53
11,Berkeley,California,Alameda,,06000,2019,,06
12,Bethlehem,Pennsylvania,Northampton,,06088,,,42
13,Boston,Massachusetts,Suffolk,,07000,2018,,25
14,Boulder,Colorado,Boulder,,07850,2019,,08
15,Cambridge,Massachusetts,Middlesex,,11000,2017,,25
16,Charlotte,North Carolina,Mecklenburg,,12000,2019,,37
17,Chicago,Illinois,Cook,,14000,2017,,17
18,Columbia,Missouri,Boone,,15670,2017,,29
19,Columbus,Ohio,Franklin,,18000,2020,,39
20,Denver,Colorado,Denver,,20000,2017,,08
21,Deerfield Beach,Florida,Broward,,16725,,,12
23,Durham,North Carolina,Durham,,19000,2019,,37
24,Eugene,Oregon,Lane,,23850,2018,,41
25,El Paso,Texas,El Paso,,24000,,,48
26,Fremont,California,Alameda,,26000,2016,,06
27,Fort Lauderdale,Florida,Broward,,24000,2018,,12
28,Gainesville,Florida,Alachua,,25175,,,12
29,Harrisburg,Pennsylvania,Dauphin,,32800,2019,,42
31,Hoboken,New Jersey,Hudson,,33250,2021,,34
32,Houston,Texas,Harris,,35000,2020,,48
33,Jersey City,New Jersey,Hudson,,36000,2019,,34
34,Kansas City,Missouri,Jackson,,38000,,,29
35,Kirkwood,Missouri,St. Louis,,39044,,,29
36,Knoxville,Tennessee,Knox,,40000,,,47
37,La Mesa,California,San Diego,,39682,,,06
38,Lancaster,Pennsylvania,Lancaster,,41216,,,42
39,Laredo,Texas,Webb,,41448,,,48
40,Las Vegas,Nevada,Clark,,40000,,,32
41,Los Angeles,California,Los Angeles,,44000,2017,,06
42,Louisville,Kentucky,Jefferson,,48006,,,21
43,Macon,Georgia,Bibb,,49000,2020,,13
44,Madison,Wisconsin,Dane,,48000,2020,,55
45,Milwaukee,Wisconsin,Milwaukee,,53000,,,55
46,Minneapolis,Minnesota,Hennepin,,43000,2020,,27
47,Monterey,California,Monterey,,48872,2017,,06
49,New York City,New York,,,51000,2014,,36
50,Oak Park,Illinois,Cook,,54885,,,17
51,Oklahoma City,Oklahoma,Oklahoma,,55000,,,40
52,Omaha,Nebraska,Douglas,,37000,,,31
54,Orlando,Florida,Orange,,53000,2021,,12
55,Philadelphia,Pennsylvania,Philadelphia,,60000,2017,,42
56,Portland,Oregon,Multnomah,,59000,2016,,41
57,Richmond,Virginia,Richmond City,,67000,2017,,51
58,Sacramento,California,Sacramento,,64000,2018,,06
59,Salisbury,Maryland,Wicomico,,69925,,,24
60,San Antonio,Texas,Bexar,,65000,2016,,48
61,San Diego,California,San Diego,,66000,2020,,06
62,San Francisco,California,San Francisco,,67000,2014,,06
63,San Jose,California,Santa Clara,,68000,2020,,06
64,San Luis Obispo,California,San Luis Obispo,,68154,,,06
65,Santa Barbara,California,Santa Barbara,,69070,2018,,06
66,Santa Rosa,California,Sonoma,,70098,,,06
67,Savannah,Georgia,Chatham,,69000,,,13
68,Seattle,Washington,King,,63000,2015,,53
69,Stamford,Connecticut,Fairfield,,73000,,,09
70,Somerville,Massachusetts,Middlesex,,62535,2020,,25
71,Tacoma,Washington,Pierce,,70000,,,53
72,Tampa,Florida,Hillsborough,,71000,2021,,12
73,Tempe,Arizona,Maricopa,,73000,2019,,04
74,Toledo,Ohio,Lucas,,77000,,,39
75,Vista,California,San Diego,,82996,,,06
76,Washington DC,Washington DC,,,50000,2015,,11
77,Watsonville,California,Santa Cruz,,83668,,,06
78,West Hollywood,California,Los Angeles,,84410,,,06
79,West Palm Beach,Florida,Palm Beach,,76600,2019,,12
